fpl_id,full_name,position,latest_team,2023/24,2024/25,min_2023/24,min_2024/25,proj_pts,rep_dyn,vorp_dyn,rec_bid_dyn,tier_dyn,aav
230,Wesley Fofana,DEF,Chelsea,0.0,26.0,0.0,1172.0,19.955416339160085,62.18306531579047,0.0,0.0,3,
479,Emil Krafth,DEF,Newcastle,33.0,17.0,909.0,334.0,19.317887963201844,62.18306531579047,0.0,0.0,3,
514,Willy Boly,DEF,Nott'm Forest,58.0,6.0,1437.0,146.0,19.28735855605344,62.18306531579047,0.0,0.0,3,
444,Leny Yoro,DEF,Man Utd,,22.0,,1160.0,18.9854605107757,62.18306531579047,0.0,0.0,3,
511,Felipe Rodrigues da Silva,DEF,Nott'm Forest,,36.0,,891.0,18.77980001808832,62.18306531579047,0.0,0.0,3,
296,Nathan Patterson,DEF,Everton,34.0,14.0,1000.0,342.0,18.77786168564772,62.18306531579047,0.0,0.0,3,
635,Rodrigo Martins Gomes,DEF,Wolves,,42.0,,794.0,18.460543252705225,62.18306531579047,0.0,0.0,4,
229,Benoît Badiashile Mukinayi,DEF,Chelsea,35.0,7.0,1337.0,332.0,16.8987796443124,62.18306531579047,0.0,0.0,4,
441,Patrick Dorgu,DEF,Man Utd,,18.0,,840.0,14.924583320541268,62.18306531579047,0.0,0.0,4,
570,Kevin Danso,DEF,Spurs,,16.0,,842.0,14.595011195557342,62.18306531579047,0.0,0.0,4,
608,Ollie Scarles,DEF,West Ham,0.0,29.0,0.0,659.0,14.335501089169295,62.18306531579047,0.0,0.0,4,
443,Luke Shaw,DEF,Man Utd,31.0,5.0,960.0,346.0,13.728629135349024,62.18306531579047,0.0,0.0,4,
342,Jayden Bogle,DEF,Leeds,63.0,,2787.0,,12.812349972576744,62.18306531579047,0.0,0.0,4,
411,Nico O'Reilly,DEF,Man City,,31.0,,525.0,12.430347212983508,62.18306531579047,0.0,0.0,4,
110,Michael Kayode,DEF,Brentford,,27.0,,523.0,11.888522914662815,62.18306531579047,0.0,0.0,4,
77,James Hill,DEF,Bournemouth,5.0,17.0,74.0,443.0,11.72379607723942,62.18306531579047,0.0,0.0,4,
294,Séamus Coleman,DEF,Everton,30.0,5.0,661.0,214.0,10.702171755161089,62.18306531579047,0.0,0.0,4,
406,Abdukodir Khusanov,DEF,Man City,,14.0,,503.0,9.948407067935884,62.18306531579047,0.0,0.0,4,
607,Nayef Aguerd,DEF,West Ham,36.0,0.0,1857.0,0.0,9.557783168495563,62.18306531579047,0.0,0.0,4,
78,Julián Araujo Zúñiga,DEF,Bournemouth,,12.0,,492.0,9.542533876740743,62.18306531579047,0.0,0.0,4,
148,Ferdi Kadıoğlu,DEF,Brighton,,19.0,,385.0,8.591652844180642,62.18306531579047,0.0,0.0,4,
44,Lamare Bogarde,DEF,Aston Villa,,6.0,,473.0,8.557542122729156,62.18306531579047,0.0,0.0,4,
634,Yerson Mosquera Valdelamar,DEF,Wolves,0.0,3.0,0.0,441.0,7.776146630234389,62.18306531579047,0.0,0.0,4,
480,Jamaal Lascelles,DEF,Newcastle,46.0,0.0,1077.0,0.0,7.5971442019991775,62.18306531579047,0.0,0.0,4,
194,Jordan Beyer,DEF,Burnley,30.0,,1234.0,,7.554808423977381,62.18306531579047,0.0,0.0,4,
191,Maxime Estève,DEF,Burnley,15.0,,1310.0,,7.173823391456753,62.18306531579047,0.0,0.0,4,
321,Jorge Cuenca Barreno,DEF,Fulham,,9.0,,349.0,7.015036837513992,62.18306531579047,0.0,0.0,4,
