fpl_id,full_name,team,position,season,minutes,goals,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,saves,penalties_saved,penalties_missed,own_goals
106,Nathan Collins,Brentford,DEF,2023/24,2649,1,1,7,51,3,0,0,0,0,0
106,Nathan Collins,Brentford,DEF,2024/25,3420,2,7,8,57,5,0,0,0,0,0
107,Keane Lewis-Potter,Brentford,DEF,2023/24,1428,3,2,6,29,0,0,0,0,0,0
107,Keane Lewis-Potter,Brentford,DEF,2024/25,3092,1,5,8,49,7,0,0,0,0,0
108,Kristoffer Ajer,Brentford,DEF,2023/24,1826,2,1,5,33,5,0,0,0,0,0
108,Kristoffer Ajer,Brentford,DEF,2024/25,1433,0,0,3,25,5,0,0,0,0,0
109,Rico Henry,Brentford,DEF,2023/24,401,0,1,1,5,1,0,0,0,0,0
109,Rico Henry,Brentford,DEF,2024/25,94,0,0,0,3,0,0,0,0,0,0
110,Michael Kayode,Brentford,DEF,2024/25,523,0,1,2,5,2,0,0,0,0,0
111,Ethan Pinnock,Brentford,DEF,2023/24,2521,2,0,5,46,1,0,0,0,0,0
111,Ethan Pinnock,Brentford,DEF,2024/25,1912,2,0,2,35,2,0,0,0,0,1
112,Mads Roerslev Rasmussen,Brentford,DEF,2023/24,1975,1,2,5,40,1,0,0,0,0,0
112,Mads Roerslev Rasmussen,Brentford,DEF,2024/25,1100,0,2,2,20,2,0,0,0,0,0
113,Sepp van den Berg,Brentford,DEF,2023/24,0,0,0,0,0,0,0,0,0,0,0
113,Sepp van den Berg,Brentford,DEF,2024/25,2584,0,1,5,49,3,0,0,0,0,0
114,Benjamin Arthur,Brentford,DEF,2023/24,0,0,0,0,0,0,0,0,0,0,0
114,Benjamin Arthur,Brentford,DEF,2024/25,0,0,0,0,0,0,0,0,0,0,0
115,Benjamin Fredrick,Brentford,DEF,2023/24,0,0,0,0,0,0,0,0,0,0,0
115,Benjamin Fredrick,Brentford,DEF,2024/25,0,0,0,0,0,0,0,0,0,0,0
116,Aaron Hickey,Brentford,DEF,2023/24,713,0,0,2,12,5,0,0,0,0,0
116,Aaron Hickey,Brentford,DEF,2024/25,0,0,0,0,0,0,0,0,0,0,0
117,Kim Ji-soo,Brentford,DEF,2023/24,0,0,0,0,0,0,0,0,0,0,0
117,Kim Ji-soo,Brentford,DEF,2024/25,28,0,0,0,0,0,0,0,0,0,0
118,Jayden Meghoma,Brentford,DEF,2024/25,4,0,0,0,0,0,0,0,0,0,0
120,Kevin Schade,Brentford,MID,2023/24,327,2,2,1,5,0,0,0,0,0,0
120,Kevin Schade,Brentford,MID,2024/25,2281,11,4,10,34,3,0,0,0,0,0
121,Mikkel Damsgaard,Brentford,MID,2023/24,829,0,4,5,9,2,0,0,0,0,0
121,Mikkel Damsgaard,Brentford,MID,2024/25,2911,2,10,11,41,2,0,0,0,0,0
123,Fábio Freitas Gouveia Carvalho,Brentford,MID,2024/25,443,2,1,0,14,1,0,0,0,0,0
124,Jordan Henderson,Brentford,MID,2023/24,0,0,0,0,0,0,0,0,0,0,0
125,Vitaly Janelt,Brentford,MID,2023/24,3054,1,4,9,52,8,0,0,0,0,0
125,Vitaly Janelt,Brentford,MID,2024/25,2251,1,3,6,38,3,0,0,0,0,2
126,Mathias Jensen,Brentford,MID,2023/24,2201,3,4,9,45,5,0,0,0,0,0
126,Mathias Jensen,Brentford,MID,2024/25,846,0,2,2,17,2,0,0,0,0,0
127,Gustavo Nunes Fernandes Gomes,Brentford,MID,2024/25,11,0,0,0,2,0,0,0,0,0,0
128,Frank Onyeka,Brentford,MID,2023/24,1147,1,2,1,27,8,0,0,0,0,0
128,Frank Onyeka,Brentford,MID,2024/25,23,0,0,0,0,0,0,0,0,0,0
129,Yehor Yarmoliuk,Brentford,MID,2023/24,670,0,0,4,9,2,0,0,0,0,0
129,Yehor Yarmoliuk,Brentford,MID,2024/25,1435,0,0,3,25,6,0,0,0,0,0
131,Yunus Emre Konak,Brentford,MID,2023/24,0,0,0,0,0,0,0,0,0,0,0
131,Yunus Emre Konak,Brentford,MID,2024/25,53,0,0,0,2,0,0,0,0,0,0
132,Paris Maghoma,Brentford,MID,2024/25,112,0,0,0,1,0,0,0,0,0,0
133,Myles Peart-Harris,Brentford,MID,2023/24,11,0,0,0,0,0,0,0,0,0,0
133,Myles Peart-Harris,Brentford,MID,2024/25,0,0,0,0,0,0,0,0,0,0,0
134,Ryan Trevitt,Brentford,MID,2023/24,0,0,0,0,0,0,0,0,0,0,0
134,Ryan Trevitt,Brentford,MID,2024/25,3,0,0,0,0,0,0,0,0,0,0
135,Yoane Wissa,Brentford,FWD,2023/24,2488,12,4,11,40,7,0,0,0,0,0
135,Yoane Wissa,Brentford,FWD,2024/25,2921,18,6,9,45,5,0,0,0,0,0
136,Igor Thiago Nascimento Rodrigues,Brentford,FWD,2024/25,167,0,0,0,4,0,0,0,0,0,0
137,Iwan Morgan,Brentford,FWD,2024/25,0,0,0,0,0,0,0,0,0,0,0
138,Jason Steele,Brighton,GK,2023/24,1530,0,0,2,34,0,0,43,0,0,0
138,Jason Steele,Brighton,GK,2024/25,180,0,0,1,1,0,0,3,0,0,0
139,Bart Verbruggen,Brighton,GK,2023/24,1890,0,0,4,28,3,0,65,0,0,0
139,Bart Verbruggen,Brighton,GK,2024/25,3240,0,1,7,58,5,0,91,0,0,0
140,Tom McGill,Brighton,GK,2023/24,0,0,0,0,0,0,0,0,0,0,0
141,Carl Rushworth,Brighton,GK,2024/25,0,0,0,0,0,0,0,0,0,0,0
142,Kjell Scherpen,Brighton,GK,2023/24,0,0,0,0,0,0,0,0,0,0,0
146,Lewis Dunk,Brighton,DEF,2023/24,2869,3,1,5,53,6,1,0,0,0,0
146,Lewis Dunk,Brighton,DEF,2024/25,2081,0,1,4,42,5,0,0,0,0,1
147,Pervis Estupiñán Tenorio,Brighton,DEF,2023/24,1242,2,3,3,26,4,0,0,0,0,1
147,Pervis Estupiñán Tenorio,Brighton,DEF,2024/25,2399,1,1,3,44,5,0,0,0,0,0
148,Ferdi Kadıoğlu,Brighton,DEF,2024/25,385,1,0,2,8,1,0,0,0,0,0
149,Igor Julio dos Santos de Paulo,Brighton,DEF,2023/24,1631,0,0,2,26,4,0,0,0,0,0
149,Igor Julio dos Santos de Paulo,Brighton,DEF,2024/25,959,0,0,1,17,4,0,0,0,0,0
150,Tariq Lamptey,Brighton,DEF,2023/24,908,0,3,1,20,3,0,0,0,0,0
150,Tariq Lamptey,Brighton,DEF,2024/25,856,2,2,2,21,0,0,0,0,0,0
151,Jan Paul van Hecke,Brighton,DEF,2023/24,2368,0,0,5,38,4,0,0,0,0,0
151,Jan Paul van Hecke,Brighton,DEF,2024/25,2960,1,1,7,47,6,1,0,0,0,0
152,Joël Veltman,Brighton,DEF,2023/24,1579,1,1,3,32,4,0,0,0,0,0
152,Joël Veltman,Brighton,DEF,2024/25,1694,0,0,6,24,5,0,0,0,0,0
153,Adam Webster,Brighton,DEF,2023/24,1142,0,0,2,22,2,0,0,0,0,1
153,Adam Webster,Brighton,DEF,2024/25,885,0,1,4,11,1,0,0,0,0,0
154,Eiran Cashin,Brighton,DEF,2024/25,19,0,0,0,2,0,0,0,0,0,0
155,Jacob Slater,Brighton,DEF,2024/25,0,0,0,0,0,0,0,0,0,0,0
156,Charlie Tasker,Brighton,DEF,2024/25,0,0,0,0,0,0,0,0,0,0,0
157,Mitoma Kaoru,Brighton,MID,2023/24,1485,3,7,1,27,4,0,0,0,0,0
157,Mitoma Kaoru,Brighton,MID,2024/25,2597,10,5,6,40,1,0,0,0,0,0
158,Georginio Rutter,Brighton,MID,2024/25,1651,5,6,6,29,2,0,0,0,0,0
159,Solly March,Brighton,MID,2023/24,555,3,1,2,11,1,0,0,0,0,0
