fpl_id,2023/24,2024/25,min_2023/24,min_2024/25,full_name,position,latest_team
279,16.0,9.0,224.0,52.0,Matheus França de Oliveira,MID,Crystal Palace
280,8.0,0.0,148.0,0.0,David Ozoh,MID,Crystal Palace
281,0.0,0.0,0.0,0.0,Kaden Rodney,MID,Crystal Palace
282,0.0,0.0,0.0,0.0,Franco Umeh-Chibueze,MID,Crystal Palace
283,165.0,150.0,2274.0,2642.0,Jean-Philippe Mateta,FWD,Crystal Palace
284,71.0,53.0,1065.0,1018.0,Eddie Nketiah,FWD,Crystal Palace
285,79.0,7.0,1545.0,141.0,Odsonne Édouard,FWD,Crystal Palace
286,,0.0,,0.0,Zach Marsh,FWD,Crystal Palace
287,153.0,158.0,3420.0,3420.0,Jordan Pickford,GK,Everton
288,19.0,19.0,360.0,450.0,Mark Travers,GK,Everton
290,124.0,88.0,3116.0,2509.0,Jarrad Branthwaite,DEF,Everton
291,117.0,105.0,3420.0,2922.0,James Tarkowski,DEF,Everton
292,101.0,121.0,2469.0,3082.0,Vitalii Mykolenko,DEF,Everton
293,0.0,65.0,0.0,1568.0,Jake O'Brien,DEF,Everton
294,30.0,5.0,661.0,214.0,Séamus Coleman,DEF,Everton
295,18.0,48.0,437.0,1046.0,Michael Keane,DEF,Everton
296,34.0,14.0,1000.0,342.0,Nathan Patterson,DEF,Everton
297,,0.0,,90.0,Roman Dixon,DEF,Everton
298,,0.0,,0.0,Reece Welch,DEF,Everton
299,0.0,114.0,0.0,2426.0,Iliman Ndiaye,MID,Everton
300,124.0,93.0,2891.0,1366.0,Dwight McNeil,MID,Everton
301,,44.0,,766.0,Carlos Alcaraz Durán,MID,Everton
302,73.0,89.0,1885.0,3063.0,Idrissa Gana Gueye,MID,Everton
303,87.0,42.0,3001.0,1590.0,James Garner,MID,Everton
304,10.0,22.0,157.0,562.0,Tim Iroegbunam,MID,Everton
305,,2.0,,47.0,Harrison Armstrong,MID,Everton
306,,0.0,,0.0,Callum Bates,MID,Everton
307,,0.0,,0.0,Coby Ebere,MID,Everton
308,,0.0,,0.0,Isaac Heath,MID,Everton
309,0.0,0.0,0.0,0.0,Jenson Metcalfe,MID,Everton
311,50.0,87.0,943.0,1521.0,Norberto Bercique Gomes Betuncal,FWD,Everton
312,16.0,3.0,196.0,42.0,Youssef Ramalho Chermiti,FWD,Everton
313,,0.0,,0.0,Martin Sherif,FWD,Everton
314,133.0,115.0,3420.0,3420.0,Bernd Leno,GK,Fulham
315,0.0,0.0,0.0,0.0,Steven Benda,GK,Fulham
316,104.0,106.0,3266.0,3166.0,Antonee Robinson,DEF,Fulham
317,121.0,51.0,3416.0,2673.0,Joachim Andersen,DEF,Fulham
318,66.0,75.0,2299.0,3074.0,Calvin Bassey,DEF,Fulham
319,105.0,46.0,2630.0,1642.0,Timothy Castagne,DEF,Fulham
320,43.0,31.0,1423.0,1334.0,Issa Diop,DEF,Fulham
321,,9.0,,349.0,Jorge Cuenca Barreno,DEF,Fulham
322,27.0,49.0,863.0,1773.0,Kenny Tete,DEF,Fulham
323,,0.0,,0.0,Samuel Amissah,DEF,Fulham
324,102.0,156.0,2331.0,2981.0,Alex Iwobi,MID,Fulham
325,25.0,114.0,343.0,2036.0,Emile Smith Rowe,MID,Fulham
326,36.0,95.0,363.0,1756.0,Adama Traoré Diarra,MID,Fulham
327,127.0,81.0,2611.0,2004.0,Andreas Hoelgebaum Pereira,MID,Fulham
328,0.0,57.0,0.0,574.0,Ryan Sessegnon,MID,Fulham
329,94.0,78.0,1603.0,1148.0,Harry Wilson,MID,Fulham
330,74.0,53.0,3002.0,2221.0,Sander Berge,MID,Fulham
331,70.0,33.0,1472.0,610.0,Tom Cairney,MID,Fulham
332,43.0,56.0,1113.0,2348.0,Saša Lukić,MID,Fulham
333,,2.0,,21.0,Martial Godo,MID,Fulham
334,2.0,0.0,74.0,0.0,Luke Harris,MID,Fulham
335,0.0,10.0,0.0,126.0,Josh King,MID,Fulham
336,47.0,10.0,1317.0,100.0,Harrison Reed,MID,Fulham
337,72.0,147.0,1390.0,2486.0,Raúl Jiménez Rodríguez,FWD,Fulham
338,97.0,86.0,1589.0,943.0,Rodrigo Muniz Carvalho,FWD,Fulham
341,0.0,,0.0,,Karl Darlow,GK,Leeds
342,63.0,,2787.0,,Jayden Bogle,DEF,Leeds
348,0.0,,0.0,,Joe Rodon,DEF,Leeds
352,92.0,81.0,2212.0,2068.0,Jack Harrison,MID,Leeds
354,0.0,,0.0,,Ethan Ampadu,MID,Leeds
366,107.0,112.0,2520.0,2508.0,Alisson Becker,GK,Liverpool
371,59.0,134.0,1966.0,3336.0,Milos Kerkez,DEF,Liverpool
372,76.0,91.0,1689.0,2479.0,Andrew Robertson,DEF,Liverpool
373,117.0,143.0,3177.0,3330.0,Virgil van Dijk,DEF,Liverpool
374,56.0,106.0,1570.0,2561.0,Ibrahima Konaté,DEF,Liverpool
375,50.0,41.0,752.0,744.0,Conor Bradley,DEF,Liverpool
376,76.0,14.0,1772.0,517.0,Joe Gomez,DEF,Liverpool
377,48.0,43.0,675.0,829.0,Konstantinos Tsimikas,DEF,Liverpool
378,0.0,0.0,0.0,0.0,Amara Nallo,DEF,Liverpool
379,,0.0,,0.0,Rhys Williams,DEF,Liverpool
381,211.0,344.0,2531.0,3374.0,Mohamed Salah,MID,Liverpool
383,142.0,183.0,2625.0,2393.0,Luis Díaz Marulanda,MID,Liverpool
384,106.0,127.0,1633.0,1921.0,Cody Gakpo,MID,Liverpool
385,,7.0,,103.0,Federico Chiesa,MID,Liverpool
386,109.0,122.0,2600.0,2597.0,Alexis Mac Allister,MID,Liverpool
387,99.0,143.0,2102.0,2485.0,Dominik Szoboszlai,MID,Liverpool
388,40.0,87.0,1156.0,1702.0,Curtis Jones,MID,Liverpool
389,96.0,33.0,1330.0,359.0,Harvey Elliott,MID,Liverpool
390,45.0,92.0,1110.0,3160.0,Ryan Gravenberch,MID,Liverpool
391,1.0,0.0,13.0,0.0,Ben Doak,MID,Liverpool
392,47.0,21.0,1714.0,259.0,Endo Wataru,MID,Liverpool
393,1.0,0.0,25.0,0.0,Stefan Bajčetić Maquieira,MID,Liverpool
394,3.0,0.0,3.0,0.0,James McConnell,MID,Liverpool
395,,0.0,,0.0,Tyler Morton,MID,Liverpool
396,0.0,0.0,0.0,0.0,Trey Nyoni,MID,Liverpool
397,132.0,66.0,2033.0,1113.0,Darwin Núñez Ribeiro,FWD,Liverpool
398,1.0,1.0,7.0,10.0,Jayden Danns,FWD,Liverpool
399,112.0,111.0,2785.0,2320.0,Ederson Santana de Moraes,GK,Man City
400,22.0,35.0,632.0,1099.0,Stefan Ortega Moreno,GK,Man City
401,-1.0,0.0,0.0,0.0,Marcus Bettinelli,GK,Man City
402,77.0,125.0,2327.0,3112.0,Rayan Aït-Nouri,DEF,Man City
403,123.0,153.0,2327.0,3278.0,Joško Gvardiol,DEF,Man City
404,112.0,61.0,2512.0,2012.0,Manuel Akanji,DEF,Man City
405,99.0,25.0,2039.0,677.0,Nathan Aké,DEF,Man City
406,,14.0,,503.0,Abdukodir Khusanov,DEF,Man City
407,32.0,81.0,831.0,1670.0,Matheus Nunes,DEF,Man City
408,88.0,90.0,2557.0,2269.0,Rúben dos Santos Gato Alves Dias,DEF,Man City
409,53.0,29.0,1061.0,544.0,John Stones,DEF,Man City
410,52.0,66.0,804.0,1888.0,Rico Lewis,DEF,Man City
411,,31.0,,525.0,Nico O'Reilly,DEF,Man City
412,,1.0,,1.0,Vitor de Oliveira Nunes dos Reis,DEF,Man City
413,,73.0,,1174.0,Omar Marmoush,MID,Man City
414,230.0,105.0,2860.0,1771.0,Phil Foden,MID,Man City
415,,106.0,,1760.0,Sávio Moreira de Oliveira,MID,Man City
416,141.0,110.0,2576.0,2667.0,Bernardo Mota Veiga de Carvalho e Silva,MID,Man City
418,98.0,88.0,1585.0,1506.0,Jérémy Doku,MID,Man City
419,50.0,38.0,998.0,710.0,Jack Grealish,MID,Man City
420,,97.0,,2218.0,İlkay Gündoğan,MID,Man City
421,159.0,3.0,2931.0,72.0,Rodrigo 'Rodri' Hernandez Cascante,MID,Man City
422,59.0,109.0,1539.0,2194.0,Mateo Kovačić,MID,Man City
423,,31.0,,760.0,Nico González Iglesias,MID,Man City
424,30.0,3.0,294.0,14.0,Oscar Bobb,MID,Man City
425,,1.0,,5.0,Claudio Echeverri,MID,Man City
426,77.0,31.0,1815.0,340.0,James McAtee,MID,Man City
429,10.0,27.0,394.0,1231.0,Kalvin Phillips,MID,Man City
430,217.0,181.0,2553.0,2736.0,Erling Haaland,FWD,Man City
431,0.0,8.0,0.0,360.0,Altay Bayındır,GK,Man Utd
432,133.0,120.0,3420.0,3060.0,André Onana,GK,Man Utd
433,,0.0,,0.0,Elyh Harrison,GK,Man Utd
434,0.0,0.0,0.0,0.0,Tom Heaton,GK,Man Utd
435,0.0,0.0,0.0,0.0,Dermot Mee,GK,Man Utd
436,,68.0,,2119.0,Matthijs de Ligt,DEF,Man Utd
437,15.0,68.0,643.0,1751.0,Lisandro Martínez,DEF,Man Utd
438,,88.0,,2836.0,Noussair Mazraoui,DEF,Man Utd
440,111.0,95.0,3174.0,2812.0,Diogo Dalot Teixeira,DEF,Man Utd
441,,18.0,,840.0,Patrick Dorgu,DEF,Man Utd
442,73.0,48.0,1650.0,1751.0,Harry Maguire,DEF,Man Utd
443,31.0,5.0,960.0,346.0,Luke Shaw,DEF,Man Utd
444,,22.0,,1160.0,Leny Yoro,DEF,Man Utd
445,0.0,4.0,0.0,345.0,Harry Amass,DEF,Man Utd
446,,2.0,,166.0,Tyler Fredricson,DEF,Man Utd
447,,10.0,,169.0,Ayden Heaven,DEF,Man Utd
448,0.0,2.0,0.0,99.0,Tyrell Malacia,DEF,Man Utd
449,166.0,174.0,3118.0,3017.0,Bruno Borges Fernandes,MID,Man Utd
450,135.0,178.0,2438.0,2596.0,Matheus Santos Carneiro da Cunha,MID,Man Utd
451,108.0,95.0,2264.0,1414.0,Marcus Rashford,MID,Man Utd
452,23.0,129.0,385.0,1898.0,Amad Diallo,MID,Man Utd
453,131.0,106.0,2564.0,2188.0,Alejandro Garnacho Ferreyra,MID,Man Utd
454,47.0,8.0,1311.0,135.0,Antony dos Santos,MID,Man Utd
455,23.0,25.0,509.0,613.0,Mason Mount,MID,Man Utd
